"","loci","mean_epi","sd_epi","ymin","ymax"
"1",4,0.883218344082363,0.0539632084897508,0.829255135592612,0.937181552572114
"2",6,0.967285991643855,0.0212475273629264,0.946038464280929,0.988533519006781
"3",8,0.932117730461193,0.0245771995692829,0.90754053089191,0.956694930030476
"4",10,0.915628214679698,0.0239634099887806,0.891664804690917,0.939591624668478
"5",12,0.900107018717118,0.0293478262810539,0.870759192436064,0.929454844998171
"6",14,0.887819926605502,0.0302069617498765,0.857612964855625,0.918026888355378
"7",16,0.879542269484223,0.0303168648985906,0.849225404585632,0.909859134382814
"8",18,0.868792077056131,0.0297491275601589,0.839042949495972,0.89854120461629
"9",20,0.868973317787856,0.0301265992321817,0.838846718555674,0.899099917020037
"10",22,0.863328425284115,0.0267686492021401,0.836559776081975,0.890097074486255
"11",24,0.858592555296446,0.0264937556322033,0.832098799664243,0.885086310928649
"12",26,0.854782733154615,0.0281129199918157,0.8266698131628,0.882895653146431
"13",28,0.855699840901807,0.0274623819514735,0.828237458950333,0.88316222285328
"14",30,0.85108031136105,0.0299364568563538,0.821143854504696,0.881016768217404
"15",32,0.855838535429512,0.0282399115593891,0.827598623870123,0.884078446988901
"16",34,0.849737049312402,0.0300254389320848,0.819711610380317,0.879762488244487
"17",36,0.849802162785285,0.0286660450691596,0.821136117716125,0.878468207854445
"18",38,0.847367439131394,0.0297770272351202,0.817590411896274,0.877144466366514
"19",40,0.844083433656021,0.0276156979496481,0.816467735706373,0.871699131605669
"20",42,0.844730015577437,0.0304089159301224,0.814321099647314,0.875138931507559
"21",44,0.841474902246081,0.0304710449679329,0.811003857278148,0.871945947214014
"22",46,0.838999359396465,0.0270326645335643,0.8119666948629,0.866032023930029
"23",48,0.842040827758464,0.0329130015448927,0.809127826213571,0.874953829303356
"24",50,0.839056370758619,0.029124790265694,0.809931580492925,0.868181161024313
"25",52,0.842042260380688,0.028582347141982,0.813459913238706,0.87062460752267
"26",54,0.839793286419018,0.0312067703751579,0.80858651604386,0.871000056794176
"27",56,0.836584731274875,0.0305797773606807,0.806004953914195,0.867164508635556
"28",58,0.837133038142276,0.0283798459182915,0.808753192223984,0.865512884060567
"29",60,0.834077555245081,0.0269667681981879,0.807110787046893,0.861044323443269
"30",62,0.836780177947907,0.0285957686192661,0.808184409328641,0.865375946567173
"31",64,0.838983509711952,0.0293406908731445,0.809642818838808,0.868324200585097
"32",66,0.837590433745625,0.0299460319322823,0.807644401813343,0.867536465677907
"33",68,0.83537978872841,0.0304776870629184,0.804902101665492,0.865857475791329
"34",70,0.835622978919005,0.0307314313240666,0.804891547594938,0.866354410243071
"35",72,0.836272424203748,0.0284348712750907,0.807837552928657,0.864707295478839
"36",74,0.832713250062809,0.0294073960897965,0.803305853973013,0.862120646152606
"37",76,0.834990912370904,0.0276066747705933,0.80738423760031,0.862597587141497
"38",78,0.834146473827152,0.0272336860972455,0.806912787729907,0.861380159924398
"39",80,0.834231944443925,0.029192693582329,0.805039250861596,0.863424638026254
"40",82,0.833304035544701,0.0269008717802146,0.806403163764486,0.860204907324915
"41",84,0.831184525406038,0.0283585957681289,0.802825929637909,0.859543121174167
"42",86,0.833106234510178,0.0305014424840086,0.802604792026169,0.863607676994186
"43",88,0.834012537617175,0.0267438565791281,0.807268681038047,0.860756394196303
"44",90,0.830694653576102,0.0296694718757064,0.801025181700396,0.860364125451809
"45",92,0.838534250915074,0.0293018396936421,0.809232411221432,0.867836090608716
"46",94,0.827423378295283,0.0315240853142944,0.795899292980989,0.858947463609578
"47",96,0.832776348833454,0.030636998096317,0.802139350737137,0.863413346929771
"48",98,0.831471624490081,0.0287868712376859,0.802684753252395,0.860258495727767
"49",100,0.830504498025236,0.0296539106476956,0.80085058737754,0.860158408672931
